city	region	latitude	longitude
San Pellegrino	Trentino-Alto Adige	43.2645	12.7383
Burano	Veneto	45.4855	12.417
Nerviano	Lombardy	45.5534	8.9792
San Desiderio	Liguria	44.4228	9.0142
San Desiderio	Liguria	44.9918	8.2804
Manduria	Apulia	40.399	17.6373
Treviso	Veneto	45.6667	12.2416
Nocera Superiore	Campania	40.7425	14.6745
Castelnovo di Baganzola	Emilia-Romagna		
Milano Marittima	Emilia-Romagna		
Le Ferriere	Lazio	41.5161	12.7579
Cutigliano	Tuscany	44.1006	10.7562
Soiano del Lago	Lombardy		
San Vigilio	Trentino-Alto Adige	45.6081	10.1944
San Vigilio	Trentino-Alto Adige	46.6988	11.931
San Giovanni al Natisone	Friuli Venezia Giulia		
Pettenasco	Piedmont	45.8166	8.407
Lido di Jesolo	Veneto		
Magliano Sabina	Lazio	42.3657	12.4852
Fermo	Marche	42.829	13.58
Racale	Apulia	39.9609	18.0915
San Pancrazio	Apulia	44.3581	12.0785
San Pancrazio	Apulia	45.6141	9.9368
San Pancrazio	Apulia	43.6282	11.142
San Pancrazio	Apulia	46.586	11.0857
Olgiate Olona	Lombardy	45.6371	8.8815
Bagnolo	Lombardy	42.8404	11.6179
Bagnolo	Lombardy	45.9112	12.2731
Bagnolo	Lombardy	45.4415	11.6152
Bagnolo	Lombardy	45.2724	10.8908
Vicomero di Torrile	Emilia-Romagna		
Oliena	Sardinia	40.2762	9.4019
Pegli	Liguria	44.4244	8.8121
Grumello del Monte	Lombardy		
Cetara	Campania	40.6476	14.7009
Vallo della Lucania	Campania		
Reggio Emilia	Emilia-Romagna	44.6983	10.6312
Argelato	Emilia-Romagna	44.6401	11.3436
Civitella Casanova	Abruzzo	42.3639	13.8851
Varese	Lombardy	45.8206	8.8251
Lusia	Veneto	45.0985	11.6651
Sauris	Friuli Venezia Giulia	46.4662	12.7085
Porto Cervo	Sardinia	41.1406	9.5327
Mortegliano	Friuli Venezia Giulia	45.9455	13.1726
Pantelleria	Sicily	38.0049	12.7136
Porto Ercole	Tuscany	42.4017	11.2052
Quistello	Lombardy	45.0079	10.9838
Col San Martino	Veneto	45.9002	12.1158
Cioccaro	Piedmont		
Pietra Ligure	Liguria	44.1492	8.2821
Paderno del Grappa	Veneto		
Fontanafredda	Friuli Venezia Giulia	41.2846	13.9611
Fontanafredda	Friuli Venezia Giulia	45.9756	12.5683
Monfalcone	Friuli Venezia Giulia	45.8046	13.5329
San Michele al Tagliamento	Veneto		
Portofino	Liguria	44.3035	9.2094
Aosta	Aosta Valley	45.7376	7.3172
Santa Maria Annunziata	Tuscany		
Nizza Monferrato	Piedmont	44.7742	8.3578
Pomezia	Lazio	41.6693	12.5012
Isola di Capo Rizzuto	Calabria		
Termini Imerese	Sicily	37.9823	13.6973
Santa Maria di Sala	Veneto		
Lavagna	Liguria	44.3062	9.3538
Gattinara	Piedmont	45.6131	8.3646
Gambolò	Lombardy		
Lezzeno	Lombardy	45.9441	9.1849
Sarche di Madruzzo	Trentino-Alto Adige		
Polignano a Mare	Apulia		
Gavi	Piedmont	44.6863	8.8072
Savogna d'Isonzo	Friuli Venezia Giulia		
Marina del Cantone	Campania		
Valmontone	Lazio	41.7732	12.9186
Sarturano	Piedmont		
San Vito Chietino	Abruzzo	42.2901	14.4427
Sanluri	Sardinia	39.5618	8.8997
Civitavecchia	Lazio	42.0933	11.7967
Marina di Grosseto	Tuscany		
Viagrande	Sicily	37.6103	15.0979
Blevio	Lombardy	45.8422	9.1051
Brentonico	Trentino-Alto Adige	45.8191	10.9551
Torregrotta	Sicily	38.2026	15.3501
Pizzo Calabro	Calabria		
Catanzaro	Calabria	38.8825	16.6009
Soverato	Calabria	38.6875	16.5419
Mondovì	Piedmont		
Asti	Piedmont	44.9016	8.2075
Castel Mella	Lombardy	45.4991	10.1455
Sulmona	Abruzzo	42.0494	13.9258
Gabicce Monte	Marche		
San Giorgio di Valpolicella	Veneto		
Ruffano	Apulia	39.9819	18.2497
Sienna	Tuscany		
Vintl	Trentino-Alto Adige	46.7758	11.9383
Fornace	Trentino-Alto Adige	46.118	11.2075
Perignano	Tuscany	43.6	10.5833
Suzzara	Lombardy	44.9924	10.7441
Caprino Veronese	Veneto	45.6049	10.7952
Panzano	Tuscany	44.6203	11.04
